feature,importance_mean,importance_std
debt_to_income,0.04943333333333337,0.006347440429023367
credit_score,0.029233333333333344,0.004802892646913718
annual_income,0.009166666666666712,0.003637001206733072
num_delinquencies_2yr,0.005133333333333356,0.0013349989596333934
home_ownership,0.0027666666666666838,0.0017000000000000073
purpose,0.0018666666666666942,0.0015289793254906186
age,0.0013000000000000455,0.001516208722072572
employment_length_years,0.0012000000000000454,0.0028174062145487166
loan_amount,-6.666666666662601e-05,0.0020044395171163877
existing_debt,-0.0050666666666666195,0.0025068794235951018
