age,annual_income,employment_length_years,credit_score,loan_amount,existing_debt,debt_to_income,home_ownership,purpose,num_delinquencies_2yr,default
25,54605.53,0.6,686.0,18056.87,4926.21,0.14,RENT,home_improvement,0,0
58,24618.66,5.5,631.0,39430.99,280.37,0.252,RENT,debt_consolidation,0,1
53,50754.57,3.9,778.0,26481.57,12871.21,0.332,MORTGAGE,medical,0,0
42,31574.79,10.4,672.0,11126.17,12907.33,0.462,MORTGAGE,medical,1,0
42,48064.91,6.3,762.0,5787.17,23422.33,0.505,MORTGAGE,debt_consolidation,0,0
63,12000.0,2.0,553.0,11184.06,20684.17,1.863,OWN,small_business,0,1
25,26799.92,10.9,704.0,14075.75,7961.36,0.376,MORTGAGE,other,1,0
55,91598.16,9.6,725.0,8174.97,10069.58,0.123,RENT,home_improvement,0,0
30,75759.94,0.0,670.0,4879.93,5510.18,0.082,RENT,home_improvement,0,0
25,87975.98,7.3,640.0,17118.88,13097.23,0.178,MORTGAGE,debt_consolidation,0,0
46,89693.03,2.4,668.0,22993.89,9792.1,0.148,MORTGAGE,credit_card,1,0
68,71824.69,2.3,736.0,31719.3,12496.32,0.24,RENT,credit_card,0,0
57,43678.28,15.3,589.0,15690.25,26621.82,0.663,MORTGAGE,debt_consolidation,0,0
58,29068.73,6.6,733.0,20422.51,27137.98,1.039,OWN,credit_card,0,0
56,83668.62,4.9,704.0,1000.0,5755.63,0.071,RENT,debt_consolidation,0,0
59,56614.2,6.4,660.0,22727.61,19768.17,0.409,RENT,debt_consolidation,0,0
46,117350.57,10.4,664.0,5920.45,18534.07,0.166,MORTGAGE,debt_consolidation,0,0
27,45872.55,2.5,685.0,17743.23,6507.3,0.2,OWN,debt_consolidation,0,1
62,104322.4,3.3,804.0,14611.86,26120.23,0.271,RENT,debt_consolidation,0,0
43,51080.21,9.3,706.0,12823.22,0.0,0.038,MORTGAGE,credit_card,0,0
45,88401.21,0.0,609.0,1646.49,22755.81,0.26,RENT,other,0,0
39,97417.29,11.0,647.0,8186.96,10830.94,0.124,RENT,credit_card,1,0
29,29426.25,0.0,594.0,6409.23,1286.55,0.076,RENT,small_business,1,0
66,42875.05,4.8,538.0,9653.2,10159.52,0.271,OWN,debt_consolidation,1,0
59,29175.52,0.0,593.0,25641.92,30779.74,1.187,RENT,other,0,1
52,24251.39,0.7,689.0,11825.65,37108.44,1.603,RENT,credit_card,0,1
40,71676.67,12.5,776.0,8943.85,4213.33,0.077,MORTGAGE,other,1,0
61,50084.29,11.2,755.0,20846.0,11610.36,0.294,OWN,medical,0,0
47,56309.16,11.8,593.0,17939.24,10140.33,0.228,RENT,medical,0,0
42,68905.98,0.0,620.0,33290.61,11809.39,0.244,OWN,other,0,0
43,12000.0,0.7,610.0,24100.12,28249.58,2.655,OWN,medical,1,1
32,87169.15,7.7,486.0,1000.0,8091.13,0.095,RENT,other,0,0
25,46272.65,9.6,667.0,22246.58,4180.71,0.162,RENT,credit_card,0,0
48,68310.03,2.0,740.0,21175.37,7554.27,0.157,RENT,debt_consolidation,0,0
64,70517.82,3.1,661.0,29935.43,10126.81,0.207,MORTGAGE,home_improvement,0,0
24,89269.91,0.3,585.0,13213.63,19700.3,0.243,RENT,credit_card,2,0
63,52378.57,14.3,617.0,24867.41,13257.22,0.324,MORTGAGE,debt_consolidation,0,0
61,12000.0,3.6,655.0,11808.41,18653.57,1.702,OWN,medical,1,1
34,56428.19,6.2,738.0,17613.88,22586.18,0.447,MORTGAGE,debt_consolidation,0,0
51,60017.67,6.4,666.0,5505.58,9187.01,0.167,RENT,debt_consolidation,1,0
29,29143.48,11.5,728.0,2629.97,11300.66,0.401,RENT,debt_consolidation,0,0
58,58687.27,1.2,674.0,22826.52,16910.37,0.346,MORTGAGE,credit_card,0,0
55,45974.54,11.8,698.0,15032.11,5837.44,0.176,MORTGAGE,debt_consolidation,2,0
38,21431.15,0.0,609.0,3473.1,12443.44,0.605,RENT,small_business,0,0
24,71787.12,11.8,629.0,22330.62,22585.52,0.361,MORTGAGE,home_improvement,0,0
68,40906.87,0.0,586.0,1000.0,13221.65,0.327,RENT,debt_consolidation,0,0
42,44840.52,5.5,725.0,7711.07,24753.6,0.578,RENT,debt_consolidation,0,0
64,43435.53,14.1,658.0,1000.0,2889.93,0.07,MORTGAGE,debt_consolidation,0,0
54,85886.96,9.5,410.0,25792.59,15381.34,0.224,MORTGAGE,small_business,0,0
59,53977.1,8.1,716.0,11097.98,17780.33,0.36,RENT,home_improvement,0,0
58,56977.5,0.8,753.0,15710.14,15166.64,0.308,MORTGAGE,credit_card,0,0
30,43984.1,2.3,619.0,17737.88,9120.59,0.268,RENT,medical,0,1
38,66571.67,12.7,716.0,22277.28,0.0,0.05,RENT,debt_consolidation,0,0
43,88732.95,8.4,664.0,21257.92,23182.98,0.297,RENT,debt_consolidation,0,0
45,71196.52,10.5,521.0,22211.19,0.0,0.047,MORTGAGE,small_business,1,0
23,72171.67,6.4,826.0,12610.49,0.0,0.026,MORTGAGE,debt_consolidation,2,0
47,70155.76,4.6,665.0,22678.02,17812.61,0.302,RENT,home_improvement,0,0
28,20493.93,9.8,695.0,9101.34,8307.87,0.472,RENT,credit_card,0,0
57,33097.03,7.3,633.0,11382.04,13436.63,0.458,OWN,credit_card,0,0
54,49875.32,5.2,658.0,1169.01,0.0,0.004,RENT,debt_consolidation,0,0
66,36853.4,0.0,692.0,30087.49,14915.21,0.527,RENT,debt_consolidation,0,0
57,28386.57,10.8,602.0,6057.19,20362.11,0.749,MORTGAGE,debt_consolidation,1,1
38,12000.0,8.2,807.0,27697.39,0.0,0.346,RENT,home_improvement,0,0
68,21336.77,3.0,743.0,19835.72,14521.82,0.82,MORTGAGE,debt_consolidation,1,1
41,48586.86,11.9,719.0,16793.44,21023.09,0.485,MORTGAGE,other,0,0
36,53264.34,7.2,669.0,18302.97,0.0,0.052,MORTGAGE,other,0,0
65,35173.66,7.3,623.0,5412.73,13447.79,0.405,RENT,small_business,0,0
39,56973.13,10.4,757.0,29450.03,12514.5,0.297,MORTGAGE,home_improvement,1,0
24,44154.16,9.3,726.0,11744.76,15567.44,0.392,MORTGAGE,small_business,0,1
44,82264.34,7.5,650.0,24116.13,9274.89,0.157,RENT,small_business,1,0
59,50959.36,5.1,599.0,10110.63,0.0,0.03,RENT,credit_card,0,0
30,72408.27,15.9,562.0,2117.41,8027.55,0.115,RENT,debt_consolidation,1,0
43,60080.34,2.3,682.0,32850.76,6443.37,0.189,MORTGAGE,debt_consolidation,0,0
27,19948.22,9.7,661.0,9568.75,11321.61,0.64,MORTGAGE,medical,0,0
54,52733.55,5.6,769.0,19156.56,24051.2,0.511,MORTGAGE,other,0,1
44,24109.4,8.3,754.0,1000.0,0.0,0.006,RENT,credit_card,0,0
37,52296.98,12.2,683.0,14361.66,21606.6,0.454,OWN,small_business,1,1
32,36371.73,4.4,674.0,20436.53,29681.83,0.9,MORTGAGE,small_business,0,0
48,64549.08,9.0,594.0,16282.67,29069.88,0.488,RENT,home_improvement,0,1
53,21441.14,7.3,760.0,14117.89,29906.25,1.494,RENT,debt_consolidation,1,1
67,55367.55,2.8,676.0,13100.66,13926.39,0.287,OWN,debt_consolidation,1,0
42,69310.39,12.3,725.0,22835.15,12722.08,0.233,RENT,debt_consolidation,0,0
28,77689.89,9.6,768.0,3356.99,0.0,0.006,RENT,debt_consolidation,0,0
61,35895.81,3.8,638.0,12869.48,9825.89,0.328,MORTGAGE,debt_consolidation,0,0
51,55443.77,11.5,618.0,27912.21,23326.3,0.496,OWN,credit_card,0,0
55,59603.67,1.8,850.0,1655.68,0.0,0.004,RENT,home_improvement,0,0
25,93678.16,5.9,725.0,14041.59,3399.62,0.059,RENT,debt_consolidation,1,0
36,17966.75,3.9,659.0,5070.35,13095.67,0.771,MORTGAGE,home_improvement,0,1
58,32222.44,9.8,773.0,17708.92,0.0,0.082,RENT,small_business,0,0
61,125111.56,3.6,657.0,15297.31,30234.21,0.26,OWN,other,1,0
42,48172.57,9.8,704.0,6504.09,17837.13,0.391,OWN,small_business,2,0
60,12000.0,9.0,637.0,15218.21,15432.27,1.476,OWN,small_business,0,1
62,40436.25,4.1,679.0,15591.75,20091.42,0.555,RENT,debt_consolidation,0,0
39,12000.0,15.1,659.0,9516.6,8612.42,0.837,OWN,small_business,0,0
65,61023.02,2.3,624.0,11250.87,14799.74,0.27,MORTGAGE,home_improvement,0,0
35,75244.62,0.0,698.0,9167.72,2230.47,0.048,RENT,credit_card,0,1
32,32208.44,10.3,632.0,1000.0,0.0,0.005,MORTGAGE,other,2,0
54,43231.9,0.0,723.0,23342.25,11675.41,0.351,OWN,debt_consolidation,0,0
52,78091.35,13.5,657.0,25753.53,27820.99,0.406,RENT,medical,0,0
27,12000.0,6.5,551.0,1000.0,28746.28,2.408,MORTGAGE,home_improvement,0,1
61,21960.72,0.0,727.0,25872.37,10112.82,0.637,RENT,debt_consolidation,0,0
